Time Remaining,Play Number,Down,Score Difference,Play Type,Distance to First,Distance to Touchdown,Outcome,Previous Play Outcome,Play Description,Best
1352,49,1,-20,rush left,10,75,0,4,"1st and 10 at FSU25	No Huddle-Shotgun Benson,Trey rush left for 0 yards to the FSU25 (Murphy,Myles).",rush left
1352,50,2,-20,pass,10,75,5,0,"2nd and 10 at FSU25	No Huddle-Shotgun Travis,Jordan pass complete short left to Wilson,Johnny for 5 yards to the FSU30 (Phillips,Jalyn; Bentley,LaVonta).",pass
1352,51,3,-20,pass,10,75,0,5,"3rd and 10 at FSU25	No Huddle-Shotgun Travis,Jordan pass incomplete short left to McClain,Malik QB hurried by Davis,Tyler.",pass
1352,52,4,-20,punt,10,75,0,0,"4th and 10 at FSU25	Mastromanno,Alex punt 40 yards to the CLE35 fair catch by Williams,Antonio at CLE35.",punt
1352,53,1,-20,pass,10,80,23,0,"1st and 10 at FSU20	No Huddle-Shotgun Travis,Jordan pass complete deep left to Wilson,Johnny for 13 yards to the FSU33 (Simpson,Trenton; Thomas,Xavier), 1ST DOWN.",pass
1352,54,1,-20,rush right,10,67,8,23,"1st and 10 at FSU33	No Huddle-Shotgun Toafili,Lawrance rush right for 8 yards gain to the FSU41 (Mickens,R.J.; Mascoll,Justin).",rush right
1352,55,2,-20,pass,2,59,0,8,"2nd and 2 at FSU41	No Huddle-Shotgun Travis,Jordan pass incomplete short middle to Wilson,Johnny.",pass
1352,56,3,-20,rush left,2,59,16,0,"3rd and 2 at FSU41	No Huddle-Shotgun Travis,Jordan rush left for 6 yards gain to the FSU47 (Carter,Barrett; Trotter Jr.,Jeremiah), 1ST DOWN.",rush left
1352,57,1,-20,pass,10,53,9,16,"1st and 10 at FSU47	No Huddle-Shotgun Travis,Jordan pass complete short left to Toafili,Lawrance for 9 yards to the CLE44 (Phillips,Jalyn; Simpson,Trenton), out of bounds.",pass
1352,58,2,-20,pass,1,44,16,9,"2nd and 1 at CLE44	No Huddle-Shotgun Travis,Jordan pass complete short left to Toafili,Lawrance for 6 yards to the CLE38 (Simpson,Trenton; Phillips,Jalyn), out of bounds, 1ST DOWN.",pass
1352,59,1,-20,pass,10,38,0,16,"1st and 10 at CLE38	No Huddle-Shotgun Travis,Jordan pass incomplete short left QB hurried by Thomas,Xavier.",pass
1352,60,2,-20,pass,10,38,-2,0,"2nd and 10 at CLE38	No Huddle-Shotgun Travis,Jordan pass complete short right to Wilson,Ontaria for 2 yards loss to the CLE40 (Jones,Sheridan; Mickens,R.J.).",rush right
900,61,1,-20,pass,10,25,3,-2,"1st and 10 at CLE25	No Huddle-Shotgun Travis,Jordan pass complete short right to Toafili,Lawrance for 3 yards to the CLE22 (Bentley,LaVonta).",pass
900,62,2,-20,rush left,7,22,24,3,"2nd and 7 at CLE22	No Huddle-Shotgun Travis,Jordan rush left for 14 yards gain to the CLE08, out of bounds at CLE08, 1ST DOWN.",rush left
900,63,1,-20,pass,2,2,0,24,"1st and 2 at CLE2	No Huddle-Shotgun Travis,Jordan pass incomplete short right to Wilson,Johnny.",pass
900,64,2,-20,pass,2,2,0,0,"2nd and 2 at CLE2	No Huddle-Shotgun Travis,Jordan pass incomplete short right to Wilson,Johnny.",pass
900,65,3,-20,rush left,2,2,-2,0,"3rd and 2 at CLE2	No Huddle-Shotgun Travis,Jordan rush left for 2 yards loss to the CLE04 (Mickens,R.J.).",rush left
772,66,4,-20,pass,4,4,0,-2,"4th and 4 at CLE4	No Huddle-Shotgun Travis,Jordan pass incomplete short middle to Toafili,Lawrance broken up by Henry,K.J..",pass
772,67,1,-20,rush middle,10,60,9,0,"1st and 10 at FSU40	No Huddle-Shotgun Travis,Jordan rush middle for 9 yards gain to the FSU49 (Maguire,Keith; Simpson,Trenton).",rush middle
772,68,2,-20,pass,1,51,0,9,"2nd and 1 at FSU49	No Huddle-Shotgun Travis,Jordan pass incomplete short left to Benson,Trey.",pass
772,69,3,-20,rush middle,1,51,35,0,"3rd and 1 at FSU49	No Huddle-Shotgun Toafili,Lawrance rush middle for 25 yards gain to the CLE26 (Mukuba,Andrew), 1ST DOWN.",rush middle
772,70,1,-20,pass,10,26,32,35,"1st and 10 at CLE26	No Huddle-Shotgun Travis,Jordan pass complete deep middle to Wilson,Johnny for 22 yards to the CLE04 (Mukuba,Andrew), 1ST DOWN.",pass
772,71,1,-20,pass,4,4,0,32,"1st and 4 at CLE4	No Huddle-Shotgun Travis,Jordan pass incomplete short left to Toafili,Lawrance QB hurried by Henry,K.J..",pass
772,72,2,-20,rush middle,4,4,-2,0,"2nd and 4 at CLE4	No Huddle-Shotgun Travis,Jordan rush middle for 2 yards loss to the CLE06 (Carter,Barrett; Murphy,Myles).",rush left
562,73,3,-20,pass,6,6,66,-2,"3rd and 6 at CLE6	No Huddle-Shotgun Travis,Jordan pass complete short right to Douglas,Ja'Khi for 6 yards to the CLE00 TOUCHDOWN, clock 09:22.",pass
562,74,1,-20,kick attempt,10,3,0,66,"1st and 10 at CLE3	Fitzgerald,Ryan kick attempt good (H: Mastromanno,Alex, LS: Rosenberry,James).",kick attempt
241,75,1,-13,pass,10,94,7,0,"1st and 10 at FSU6	No Huddle-Shotgun Travis,Jordan pass complete short left to McDonald,Camren for 7 yards to the FSU13 (Phillips,Jalyn).",pass
241,76,2,-13,pass,3,87,0,7,"2nd and 3 at FSU13	No Huddle-Shotgun Travis,Jordan pass incomplete short right to McDonald,Camren.",pass
241,77,3,-13,rush middle,3,87,20,0,"3rd and 3 at FSU13	No Huddle-Shotgun Travis,Jordan rush middle for 10 yards gain to the FSU23 (Trotter Jr.,Jeremiah; Simpson,Trenton), 1ST DOWN.",rush middle
241,78,1,-13,pass,10,77,33,20,"1st and 10 at FSU23	No Huddle-Shotgun Travis,Jordan pass complete deep middle to Douglas,Markeston for 23 yards to the FSU46 (Mukuba,Andrew), 1ST DOWN.",pass
241,79,1,-13,pass,10,54,0,33,"1st and 10 at FSU46	No Huddle-Shotgun Travis,Jordan pass incomplete short left to Pittman,Mycah.",pass
137,80,1,-13,pass,10,25,95,0,"1st and 10 at CLE25	No Huddle-Shotgun Travis,Jordan pass complete deep right to Poitier,Kentron for 25 yards to the CLE00 TOUCHDOWN, clock 02:17, 1ST DOWN.",pass
137,81,1,-13,kick attempt,10,3,0,95,"1st and 10 at CLE3	Fitzgerald,Ryan kick attempt good (H: Mastromanno,Alex, LS: Rosenberry,James).",kick attempt
3600,1,1,0,pass,10,75,25,0,"1st and 10 at FSU25 No Huddle-Shotgun Travis,Jordan pass complete short right to Douglas,Markeston for 15 yards to the FSU40",pass
3600,2,1,0,rush left,10,60,5,25,"1st and 10 at FSU40 No Huddle-Shotgun Toafili,Lawrance rush left for 5 yards gain to the FSU45 (McIntyre,Javon; McMillon,Donovan).",rush left
3600,3,2,0,pass,5,55,6,5,"2nd and 5 at FSU45 No Huddle-Shotgun Travis,Jordan pass complete short left to Bell,Jaheim for 6 yards to the Pitt49",pass
3600,4,1,0,rush left,10,49,3,6,"1st and 10 at PIT49 No Huddle-Shotgun Toafili,Lawrance rush left for 3 yards gain to the Pitt46 fumbled by Toafili,Lawrance at Pitt49",rush left
3600,5,1,0,pass,10,99,5,3,"1st and 10 at FSU1 No Huddle-Shotgun Travis,Jordan pass complete short left to Morlock,Kyle for 5 yards to the FSU06",pass
3600,6,2,0,rush middle,5,94,5,5,"2nd and 5 at FSU6 No Huddle-Shotgun Benson,Trey rush middle for 5 yards gain to the FSU11 (George,Brandon; Okunlola,Samuel),",rush middle
3600,7,1,0,pass,10,89,23,5,"1st and 10 at FSU11 No Huddle-Shotgun Travis,Jordan pass complete short middle to Douglas,Ja'Khi for 13 yards to the FSU24",pass
3600,8,1,0,rush right,10,76,4,23,"1st and 10 at FSU24 No Huddle-Shotgun Benson,Trey rush right for 4 yards gain to the FSU28 (McMillon,Donovan; George,Brandon).",rush right
3600,9,2,0,pass,6,72,0,4,"2nd and 6 at FSU28 No Huddle-Shotgun Travis,Jordan pass incomplete deep middle to Williamson,Darion broken up by Woods,A.J..",pass
3600,10,3,0,pass,6,72,9,0,"3rd and 6 at FSU28 No Huddle-Shotgun Travis,Jordan pass complete short left to Williamson,Darion for 9 yards to the FSU37",pass
3600,11,1,0,rush left,10,63,0,9,"1st and 10 at FSU37 No Huddle-Shotgun Hill,Rodney rush left for 1 yard loss to the FSU36 (George,Brandon).",rush left
3600,12,2,0,pass,11,64,58,0,"2nd and 11 at FSU36 No Huddle-Shotgun Travis,Jordan pass complete short left to Hill,Rodney for 48 yards to the Pitt16 (O'Brien",pass
3600,13,1,0,rush left,10,16,0,58,"1st and 10 at PIT16 No Huddle-Shotgun Hill,Rodney rush left for 0 yards to the Pitt16 (Okunlola,Samuel).",rush left
3143,14,2,0,pass,10,16,7,0,"2nd and 10 at PIT16 No Huddle-Shotgun Travis,Jordan pass complete short left to Bell,Jaheim for 7 yards to the Pitt09",pass
3143,15,3,0,rush right,3,9,0,7,"3rd and 3 at PIT9 No Huddle-Shotgun Toafili,Lawrance rush right for 1 yard gain to the Pitt08 (Temple,Nate; McIntyre,Javon).",rush right
3143,16,4,0,rush right,2,8,0,0,"4th and 2 at PIT8 No Huddle-Shotgun Benson,Trey rush right for 1 yard gain to the Pitt07 (George,Brandon).",rush right
3143,17,1,0,rush left,10,78,25,0,"1st and 10 at FSU22 No Huddle-Shotgun Benson,Trey rush left for 15 yards gain to the FSU37 (McIntyre,Javon; Scott,Jimmy), 1ST",rush left
3143,18,1,0,rush middle,10,63,4,25,"1st and 10 at FSU37 No Huddle-Shotgun Travis,Jordan rush middle for 4 yards gain to the FSU41 (McMillon,Donovan).",rush middle
3143,19,2,0,pass,6,59,0,4,"2nd and 6 at FSU41 No Huddle-Shotgun Travis,Jordan pass incomplete short right to Hill,Destyn broken up by McIntyre,Javon.",pass
3143,20,3,0,pass,6,59,0,0,"3rd and 6 at FSU41 No Huddle-Shotgun Travis,Jordan pass incomplete deep right to Hill,Destyn.",pass
3143,21,4,0,punt,6,59,0,0,"4th and 6 at FSU41 Mastromanno,Alex punt 59 yards to the Pitt00, Touchback.",punt
3143,22,1,0,rush left,10,66,6,0,"1st and 10 at FSU34 No Huddle-Shotgun Benson,Trey rush left for 6 yards gain to the FSU40 (McMillon,Donovan; Lovelace,Braylan).",rush left
3143,23,2,0,rush middle,4,60,3,6,"2nd and 4 at FSU40 No Huddle-Shotgun Benson,Trey rush middle for 3 yards gain to the FSU43 (McMillon,Donovan).",rush middle
3143,24,3,0,rush right,1,57,0,3,"3rd and 1 at FSU43 No Huddle-Shotgun Travis,Jordan rush right for 1 yard loss to the FSU42 (Temple,Nate; George,Brandon).",rush right
2700,25,4,0,punt,2,58,0,0,"4th and 2 at FSU42 Mastromanno,Alex punt 40 yards to the Pitt18 fair catch by Devonshire,M.J. at Pitt18.",punt
2700,26,1,0,pass,10,68,-2,0,"1st and 10 at FSU32 No Huddle-Shotgun Travis,Jordan pass complete short right to Bell,Jaheim for 2 yards loss to the FSU30",rush middle
2700,27,2,0,pass,12,70,9,-2,"2nd and 12 at FSU30 No Huddle-Shotgun Travis,Jordan pass complete short right to Morlock,Kyle for 9 yards to the FSU39",pass
2700,28,3,0,pass,3,61,0,9,"3rd and 3 at FSU39 No Huddle-Shotgun Travis,Jordan pass incomplete short middle to Douglas,Ja'Khi broken up by Simon,Shayne.",pass
2700,29,4,0,punt,3,61,0,0,"4th and 3 at FSU39 Mastromanno,Alex punt 43 yards to the Pitt18 fair catch by Devonshire,M.J. at Pitt18.",punt
2700,30,1,0,rush middle,10,81,0,0,"1st and 10 at FSU19 No Huddle-Shotgun Travis,Jordan rush middle for 1 yard gain to the FSU20 (McMillon,Donovan; Bentley,Tyler).",rush middle
2700,31,2,0,pass,9,80,0,0,"2nd and 9 at FSU20 No Huddle-Shotgun Travis,Jordan pass incomplete deep middle to Hill,Destyn broken up by Devonshire,M.J..",pass
2700,32,3,0,pass,9,80,0,0,"3rd and 9 at FSU20 No Huddle-Shotgun Travis,Jordan pass incomplete short right to Hill,Destyn.",pass
2700,33,4,0,punt,9,80,0,0,"4th and 9 at FSU20 Mastromanno,Alex punt 44 yards to the Pitt36 fair catch by Devonshire,M.J. at Pitt36.",punt
2318,34,1,-7,rush middle,10,75,5,0,"1st and 10 at FSU25 No Huddle-Shotgun Travis,Jordan rush middle for 5 yards gain to the FSU30 (McMillon,Donovan;",rush middle
2318,35,2,-7,rush right,5,70,16,5,"2nd and 5 at FSU30 No Huddle-Shotgun Benson,Trey rush right for 6 yards gain to the FSU36 (Simon,Shayne), out of bounds, 1ST",rush right
2318,36,1,-7,pass,10,64,4,16,"1st and 10 at FSU36 No Huddle-Shotgun Travis,Jordan pass complete short right to Douglas,Markeston for 4 yards to the FSU40",pass
2318,37,2,-7,pass,6,60,10,4,"2nd and 6 at FSU40 No Huddle-Shotgun Travis,Jordan pass complete short left to Douglas,Ja'Khi for 10 yards to the FSU50 QB",pass
2318,38,1,-7,pass,10,50,0,10,"1st and 10 at FSU50 No Huddle-Shotgun Travis,Jordan pass incomplete deep right to Douglas,Ja'Khi.",pass
2318,39,2,-7,pass,10,50,7,0,"2nd and 10 at FSU50 No Huddle-Shotgun Travis,Jordan pass complete short right to Douglas,Ja'Khi for 7 yards to the Pitt43",pass
2318,40,3,-7,pass,3,43,47,7,"3rd and 3 at PIT43 No Huddle-Shotgun Travis,Jordan pass complete deep left to Douglas,Ja'Khi for 37 yards to the Pitt06",pass
2318,41,1,-7,rush middle,6,6,5,47,"1st and 6 at PIT6 No Huddle-Shotgun Toafili,Lawrance rush middle for 5 yards gain to the Pitt01 (McIntyre,Javon).",rush middle
2318,42,2,-7,rush middle,1,1,0,5,"2nd and 1 at PIT1 No Huddle-Shotgun Toafili,Lawrance rush middle for 0 yards to the Pitt01 (Kamara,Bangally).",rush middle
2050,43,3,-7,rush right,1,1,60,0,"3rd and 1 at PIT1 Travis,Jordan rush right for 1 yard gain to the Pitt00 TOUCHDOWN, clock 04:10.",rush right
2050,44,1,-7,kick attempt,10,3,0,60,"1st and 10 at PIT3 Fitzgerald,Ryan kick attempt good (H: Mastromanno,Alex, LS: Rosenberry,James).",kick attempt
1150,45,1,0,pass,10,75,0,0,"1st and 10 at FSU25 No Huddle-Shotgun Travis,Jordan pass incomplete short right to Bell,Jaheim QB hurried by DeShields,Solomon.",pass
1150,46,2,0,pass,10,75,0,0,"2nd and 10 at FSU25 No Huddle-Shotgun Travis,Jordan pass incomplete short right to Poitier,Kentron.",pass
1150,47,3,0,pass,10,75,73,0,"3rd and 10 at FSU25 No Huddle-Shotgun Travis,Jordan pass complete short middle to Morlock,Kyle for 63 yards to the Pitt12",pass
1150,48,1,0,rush middle,10,12,3,73,"1st and 10 at PIT12 No Huddle-Shotgun Toafili,Lawrance rush middle for 3 yards gain to the Pitt09 (Hayes,Dayon; Bentley,Tyler).",rush middle
1150,49,2,0,pass,7,9,0,3,"2nd and 7 at PIT9 No Huddle-Shotgun Travis,Jordan pass incomplete short right to Poitier,Kentron QB hurried by",pass
939,50,3,0,pass,12,14,0,0,"3rd and 12 at PIT14 No Huddle-Shotgun Travis,Jordan pass incomplete short right to Williamson,Darion.",pass
934,51,4,0,field goal attempt,12,14,5,0,"4th and 12 at PIT14 Fitzgerald,Ryan field goal attempt from 32 yards GOOD (H: Mastromanno,Alex, LS: Rosenberry,James), clock",field goal attempt
1800,52,1,3,pass,10,79,0,5,"1st and 10 at FSU21 No Huddle-Shotgun Travis,Jordan pass complete short right to Bell,Jaheim for 1 yard loss to the FSU20",pass
1800,53,2,3,pass,11,80,0,0,"2nd and 11 at FSU20 No Huddle-Shotgun Travis,Jordan pass incomplete deep middle to Williamson,Darion broken up by Woods,A.J..",pass
1800,54,1,3,rush right,10,80,-3,0,"1st and 10 at FSU20 No Huddle-Shotgun Benson,Trey rush right for 3 yards loss to the FSU17 (DeShields,Solomon).",rush middle
1800,55,2,3,pass,13,83,28,-3,"2nd and 13 at FSU17 No Huddle-Shotgun Travis,Jordan pass complete short right to Douglas,Ja'Khi for 18 yards to the FSU35",pass
1800,56,1,3,pass,10,65,0,28,"1st and 10 at FSU35 No Huddle-Shotgun Travis,Jordan pass incomplete deep left to Douglas,Ja'Khi.",pass
1800,57,2,3,rush left,10,65,0,0,"2nd and 10 at FSU35 No Huddle-Shotgun Hill,Rodney rush left for 0 yards to the FSU35 (George,Brandon).",rush left
1800,58,3,3,pass,10,65,23,0,"3rd and 10 at FSU35 No Huddle-Shotgun Travis,Jordan pass complete short middle to Bell,Jaheim for 13 yards to the FSU48 (O'Brien",pass
1800,59,1,3,rush middle,10,52,0,23,"1st and 10 at FSU48 No Huddle-Shotgun Benson,Trey rush middle for 1 yard gain to the FSU49 (Hayes,Dayon; Bentley,Tyler).",rush middle
1800,60,2,3,pass,9,51,29,0,"2nd and 9 at FSU49 No Huddle-Shotgun Travis,Jordan pass complete short middle to Jacobs,Vandrevius for 19 yards to the Pitt32",pass
1800,61,1,3,rush middle,10,32,6,29,"1st and 10 at PIT32 No Huddle-Shotgun Toafili,Lawrance rush middle for 6 yards gain to the Pitt26 (DeShields,Solomon; O'Brien",rush middle
1800,62,2,3,rush middle,4,26,0,6,"2nd and 4 at PIT26 No Huddle-Shotgun Toafili,Lawrance rush middle for 0 yards to the Pitt26 (DeShields,Solomon; Hayes,Dayon).",rush middle
1800,63,1,3,rush left,10,22,0,0,"1st and 10 at PIT22 No Huddle-Shotgun Benson,Trey rush left for 0 yards to the Pitt22 (George,Brandon).",rush left
1800,64,2,3,pass,10,22,32,0,"2nd and 10 at PIT22 No Huddle-Shotgun Travis,Jordan pass complete short middle to Douglas,Markeston for 22 yards to the Pitt00",pass
1106,65,1,3,kick attempt,10,3,0,32,"1st and 10 at PIT3 Fitzgerald,Ryan kick attempt good (H: Mastromanno,Alex, LS: Rosenberry,James).",kick attempt
1106,66,1,10,pass,10,85,40,0,"1st and 10 at FSU15 No Huddle-Shotgun Travis,Jordan pass complete deep right to Douglas,Ja'Khi for 30 yards to the FSU45",pass
